StockCode,Description,transaction_count,total_units_sold,min_price,max_price,median_price,mean_price,std_price,cost_price,fixed_costs,competitor_prices,category,month,rating,ad_spend
10002,Inflatable Political Globe,391,8836,0.72,1.7,0.85,0.9878,0.3151,0.51,0.0255,"[0.72, 0.85, 1.63, 1.66, 1.7]",Beauty,5,4.3,3426.98
10080,Groovy Cactus Inflatable,28,315,0.39,0.85,0.39,0.505,0.2028,0.234,0.0117,"[0.39, 0.85]",Clothing,11,3.6,2858.12
10120,Doggy Rubber,77,680,0.21,0.43,0.21,0.2386,0.0744,0.126,0.0063,"[0.21, 0.43]",Beauty,3,5.0,2419.33
10125,Mini Funky Design Tapes,181,2151,0.42,1.7,0.85,0.9315,0.3073,0.51,0.0255,"[0.42, 0.79, 0.81, 0.85, 1.63, 1.66, 1.7]",Clothing,2,4.7,4927.17
10133,Colouring Pencils Brown Tube,299,3882,0.42,1.7,0.83,0.749,0.2899,0.498,0.0249,"[0.42, 0.72, 0.79, 0.81, 0.83, 0.85, 1.63, 1.66, 1.7]",Electronics,8,5.0,2363.3
10134,Colouring Pencils Brown Tube,56,627,1.06,2.57,1.25,1.2893,0.2455,0.75,0.0375,"[1.06, 1.25, 2.51, 2.57]",Sports,2,3.5,2276.13
10135,Colouring Pencils Brown Tube,339,4273,0.25,2.57,1.25,1.4156,0.555,0.75,0.0375,"[0.25, 0.42, 1.06, 1.24, 1.25, 1.28, 2.46, 2.51, 2.57]",Electronics,9,3.2,860.07
10138,Assorted Colour Jumbo Pen,21,261,0.42,0.83,0.42,0.4776,0.1447,0.252,0.0126,"[0.42, 0.81, 0.83]",Sports,10,3.9,3577.72
11001,Asstd Design Racing Car Pen,265,4885,0.5,3.43,1.69,1.8794,0.7079,1.014,0.0507,"[0.5, 0.83, 1.27, 1.69, 3.29, 3.36, 3.43]",Sports,4,3.1,306.0
15030,Fan Black Frame,27,254,0.29,0.29,0.29,0.29,0.0,0.174,0.0087,[0.29],Electronics,4,2.9,4855.17
15034,Paper Pocket Traveling Fan,264,10266,0.07,0.85,0.14,0.3588,0.3239,0.084,0.0042,"[0.07, 0.14, 0.81, 0.83, 0.85]",Sports,9,4.9,4380.44
15036,Assorted Colours Silk Fan,1003,44365,0.48,1.63,0.83,0.9932,0.335,0.498,0.0249,"[0.48, 0.52, 0.53, 0.65, 0.72, 0.75, 0.83, 1.25, 1.28, 1.3, 1.63]",Electronics,9,4.5,2627.33
15039,Sandalwood Fan,313,5119,0.53,1.7,0.85,1.1427,0.3994,0.51,0.0255,"[0.53, 0.85, 1.63, 1.66, 1.7]",Clothing,4,4.1,1349.45
16008,Small Folding Scissor(Pointed Edge),86,3143,0.08,0.25,0.12,0.1573,0.0598,0.072,0.0036,"[0.08, 0.12, 0.25]",Beauty,8,4.8,4920.2
16011,Animal Stickers,116,3906,0.16,0.21,0.21,0.2096,0.0046,0.126,0.0063,"[0.16, 0.21]",Home,12,4.9,4281.11
16012,Food/Drink Spunge Stickers,87,2973,0.16,0.21,0.21,0.2094,0.0054,0.126,0.0063,"[0.16, 0.21]",Electronics,2,3.0,1721.36
16014,Small Chinese Style Scissor,97,30370,0.32,0.42,0.42,0.3953,0.0434,0.252,0.0126,"[0.32, 0.42]",Beauty,1,3.4,3644.29
16015,Medium Chinese Style Scissor,66,1573,0.36,0.5,0.5,0.4873,0.0406,0.3,0.015,"[0.36, 0.5]",Beauty,1,3.7,4977.06
16016,Large Chinese Style Scissor,110,2338,0.72,0.85,0.85,0.8405,0.0339,0.51,0.0255,"[0.72, 0.85]",Beauty,9,4.7,372.78
16033,Mini Highlighter Pens,50,15121,0.09,0.12,0.12,0.1164,0.0098,0.072,0.0036,"[0.09, 0.12]",Home,6,4.1,2204.42
16043,Pop Art Push Down Rubber,13,2145,0.06,0.42,0.42,0.3185,0.1595,0.252,0.0126,"[0.06, 0.12, 0.42]",Sports,3,3.1,4702.3
16045,Popart Wooden Pencils Asst,75,9312,0.04,0.12,0.04,0.0496,0.0262,0.024,0.0012,"[0.04, 0.12]",Electronics,11,5.0,2036.83
16046,Teatime Pen Case & Pens,66,10061,0.08,1.7,0.85,0.9386,0.4232,0.51,0.0255,"[0.08, 0.19, 0.85, 1.66, 1.7]",Clothing,3,3.7,1310.52
16047,Pop Art Pen Case & Pens,32,10614,0.08,1.7,0.85,0.955,0.395,0.51,0.0255,"[0.08, 0.85, 1.66, 1.7]",Beauty,4,5.0,230.39
16048,Teatime Round Pencil Sharpener,107,3462,0.12,0.85,0.12,0.3999,0.3191,0.072,0.0036,"[0.12, 0.42, 0.81, 0.83, 0.85]",Home,9,4.6,2919.82
